sp,iucn
Quercus_boyntonii,CR
Quercus_graciliformis,CR
Quercus_hinckleyi,CR
Quercus_acerifolia,EN
Quercus_carmenensis,EN
Quercus_dumosa,EN
Quercus_engelmannii,EN
Quercus_georgiana,EN
Quercus_havardii,EN
Quercus_oglethorpensis,EN
Quercus_pacifica,EN
Quercus_tomentella,EN
Quercus_ajoensis,VU
Quercus_arkansana,VU
Quercus_austrina,VU
Quercus_cedrosensis,VU
Quercus_lobata,NT
Quercus_palmeri,NT
Quercus_parvula,NT
Quercus_sadleriana,NT
Quercus_robusta,DD
Quercus_tardifolia,DD
Quercus_toumeyi,DD
Quercus_agrifolia,LC
Quercus_alba,LC
Quercus_arizonica,LC
Quercus_berberidifolia,LC
Quercus_bicolor,LC
Quercus_buckleyi,LC
Quercus_chapmanii,LC
Quercus_chihuahuensis,LC
Quercus_chrysolepis,LC
Quercus_coccinea,LC
Quercus_cornelius-mulleri,LC
Quercus_depressipes,LC
Quercus_douglasii,LC
Quercus_durata,LC
Quercus_ellipsoidalis,LC
Quercus_emoryi,LC
Quercus_falcata,LC
Quercus_fusiformis,LC
Quercus_gambelii,LC
Quercus_garryana,LC
Quercus_geminata,LC
Quercus_gravesii,LC
Quercus_grisea,LC
Quercus_hemisphaerica,LC
Quercus_hypoleucoides,LC
Quercus_ilicifolia,LC
Quercus_imbricaria,LC
Quercus_incana,LC
Quercus_inopina,LC
Quercus_intricata,LC
Quercus_john-tuckeri,LC
Quercus_kelloggii,LC
Quercus_laceyi,LC
Quercus_laevis,LC
Quercus_laurifolia,LC
Quercus_lyrata,LC
Quercus_macrocarpa,LC
Quercus_margarettae,LC
Quercus_marilandica,LC
Quercus_michauxii,LC
Quercus_minima,LC
Quercus_mohriana,LC
Quercus_montana,LC
Quercus_muehlenbergii,LC
Quercus_myrtifolia,LC
Quercus_nigra,LC
Quercus_oblongifolia,LC
Quercus_pagoda,LC
Quercus_palustris,LC
Quercus_phellos,LC
Quercus_polymorpha,LC
Quercus_prinoides,LC
Quercus_pumila,LC
Quercus_pungens,LC
Quercus_rubra,LC
Quercus_rugosa,LC
Quercus_shumardii,LC
Quercus_similis,LC
Quercus_sinuata,LC
Quercus_stellata,LC
Quercus_texana,LC
Quercus_turbinella,LC
Quercus_vacciniifolia,LC
Quercus_vaseyana,LC
Quercus_velutina,LC
Quercus_viminea,LC
Quercus_virginiana,LC
Quercus_wislizeni,LC
